STATE_NAME,ST_ABBREV,REGION,ACSTOTPOP,D_PNPL_2,B_PNPL_D2,P_PNPL_D2,D_PTSDF_2,B_PTSDF_D2,P_PTSDF_D2,D_PWDIS_2,B_PWDIS_D2,P_PWDIS_D2,DSLPM,B_DSLPM,P_DSLPM,PRE1960PCT,PNPL,B_PNPL,P_PNPL,PTSDF,B_PTSDF,P_PTSDF,PWDIS,B_PWDIS,P_PWDIS,MINORPCT,B_MINORPCT,P_MINORPCT,LOWINCPCT,B_LWINCPCT,P_LWINCPCT,T_PNPL,T_PNPL_D2,T_PTSDF,T_PTSDF_D2,T_PWDIS_D2,Shape_Length,Shape_Area
North Carolina,NC,4,2632,-25.6058032,2,12,-142.2797699,2,12,-0.118589081,2,15,0.788883635,8,70,0.128712871,0.097018391,9,82,0.539086951,7,68,0.000449325,8,70,0.294072948,5,48,0.221884498,3,25,0.097 facilities/km distance (82%ile),12%ile,0.54 facilities/km distance (68%ile),12%ile,15%ile,12891.54843,7372041.404
North Carolina,NC,4,4817,-63.01339443,1,3,-497.8377289,1,3,-0.793837448,1,8,0.889424349,8,75,0.02915952,0.100590693,9,82,0.794717416,8,75,0.001267233,8,77,0.231264272,5,40,0.225152986,3,25,0.1 facilities/km distance (82%ile),3%ile,0.79 facilities/km distance (75%ile),3%ile,8%ile,22730.23366,14166522.43
North Carolina,NC,4,1062,0.15621495,6,55,30.54087031,8,71,0,8,70,2.082864457,11,99,0.502415459,0.017044106,2,17,3.332215207,11,95,0,4,39,0.354048964,6,56,0.37972167,6,52,0.017 facilities/km distance (17%ile),55%ile,3.3 facilities/km distance (95%ile),71%ile,70%ile,8565.804386,3872729.192
North Carolina,NC,4,745,1.669749155,7,60,291.3349318,9,86,0,8,70,2.082864457,11,99,0.393088553,0.017958011,2,19,3.133282541,11,95,0,4,39,0.28590604,5,47,0.680216802,10,91,0.018 facilities/km distance (19%ile),60%ile,3.1 facilities/km distance (95%ile),86%ile,70%ile,3792.275472,748333.0663
North Carolina,NC,4,405,0.589431445,6,56,132.3737233,9,81,0,8,70,2.082864457,11,99,0.477690289,0.018188566,3,20,4.084763848,11,97,0,4,39,0.27654321,5,46,0.6,9,85,0.018 facilities/km distance (20%ile),56%ile,4.1 facilities/km distance (97%ile),81%ile,70%ile,5683.146257,1503788.96
North Carolina,NC,4,1102,-0.215861187,6,54,-45.90959192,3,23,0,8,70,2.082864457,11,99,0.848880597,0.016454264,2,16,3.499510703,11,96,0,4,39,0.221415608,4,38,0.471285324,7,68,0.016 facilities/km distance (16%ile),54%ile,3.5 facilities/km distance (96%ile),23%ile,70%ile,8098.02523,1458873.731
North Carolina,NC,4,1474,6.018832251,8,71,1045.728833,10,94,0.079388942,9,85,2.082864457,11,99,0.50084317,0.017654053,2,19,3.06726472,10,94,0.000232859,7,65,0.632971506,9,81,0.546132972,8,79,0.018 facilities/km distance (19%ile),71%ile,3.1 facilities/km distance (94%ile),94%ile,85%ile,7198.4314,2485705.225
North Carolina,NC,4,717,0.167319521,6,55,82.58490093,8,78,0.044842662,9,83,2.082864457,11,99,0.710280374,0.007735129,1,0,3.817873834,11,97,0.002073062,9,80,0.138075314,3,24,0.638772664,9,88,0.0077 facilities/km distance (0%ile),55%ile,3.8 facilities/km distance (97%ile),78%ile,83%ile,7445.133042,2413260.484
North Carolina,NC,4,1019,-0.515058839,6,53,-47.0355333,3,23,0,8,70,0.366407372,4,32,0.386831276,0.018033071,2,19,1.646792652,9,87,0,4,39,0.1609421,3,28,0.499509323,8,72,0.018 facilities/km distance (19%ile),53%ile,1.6 facilities/km distance (87%ile),23%ile,70%ile,22809.45504,14942738.94
North Carolina,NC,4,1005,3.71153756,7,66,1026.115469,10,93,0.100669085,9,85,0.366407372,4,32,0.288709677,0.011492477,1,3,3.177283847,11,95,0.000311714,7,67,0.528358209,8,73,0.830845771,11,98,0.011 facilities/km distance (3%ile),66%ile,3.2 facilities/km distance (95%ile),93%ile,85%ile,14029.38375,6900456.48
North Carolina,NC,4,1832,0.049013487,6,54,3.162974671,6,58,0.008222726,8,79,0.366407372,4,32,0.329305136,0.017144433,2,17,1.106377281,9,80,0.002876228,9,82,0.115720524,3,20,0.603910615,9,85,0.017 facilities/km distance (17%ile),54%ile,1.1 facilities/km distance (80%ile),58%ile,79%ile,26948.50587,28541416.32
North Carolina,NC,4,1600,-1.195082957,6,50,-50.08527487,3,23,-1.205897366,1,7,0.366407372,4,32,0.300136426,0.015414957,2,14,0.646032455,8,71,0.015554449,9,89,0.101875,2,17,0.517725753,8,74,0.015 facilities/km distance (14%ile),50%ile,0.65 facilities/km distance (71%ile),23%ile,7%ile,22347.63248,19779839.47
North Carolina,NC,4,698,-1.09524429,6,50,-190.8072147,2,10,-0.008603933,3,22,0.480486395,5,46,0.300613497,0.018388297,3,20,3.20350421,11,95,0.000144453,7,63,0.12034384,3,21,0.425501433,7,60,0.018 facilities/km distance (20%ile),50%ile,3.2 facilities/km distance (95%ile),10%ile,22%ile,12232.21266,7678519.016
North Carolina,NC,4,1008,-0.455015294,6,53,-44.1187777,3,24,-0.550452312,2,10,0.480486395,5,46,0.257261411,0.017805611,2,19,1.726451374,9,88,0.021540242,10,91,0.169642857,4,30,0.496163683,8,71,0.018 facilities/km distance (19%ile),53%ile,1.7 facilities/km distance (88%ile),24%ile,10%ile,18407.82795,8487859.325
North Carolina,NC,4,870,-0.786785868,6,52,-73.61688456,2,18,-0.047915441,2,18,0.480486395,5,46,0.305630027,0.017036672,2,17,1.594063567,9,86,0.001037537,8,75,0.087356322,2,15,0.522988506,8,75,0.017 facilities/km distance (17%ile),52%ile,1.6 facilities/km distance (86%ile),18%ile,18%ile,15815.4495,7090385.608
North Carolina,NC,4,1421,2.261616751,7,62,84.78656622,8,78,2.687160042,10,94,0.480486395,5,46,0.269789984,0.017677112,2,19,0.662703639,8,72,0.021003218,10,90,0.550316678,8,75,0.346264368,5,46,0.018 facilities/km distance (19%ile),62%ile,0.66 facilities/km distance (72%ile),78%ile,94%ile,19911.37465,12620752.84
North Carolina,NC,4,931,-0.528277813,6,52,-180.8473312,2,10,-6.34E-05,3,28,0.652317669,7,60,0.418215613,0.015342956,2,13,5.252411991,11,98,1.84E-06,5,47,0,1,1,0.64254386,9,89,0.015 facilities/km distance (13%ile),52%ile,5.3 facilities/km distance (98%ile),10%ile,28%ile,15506.05869,4608237.561
North Carolina,NC,4,639,-1.192111176,6,50,-241.0902267,1,7,0,8,70,0.652317669,7,60,0.378947368,0.018795609,3,21,3.801187161,11,97,0,4,39,0.037558685,1,6,0.480438185,7,69,0.019 facilities/km distance (21%ile),50%ile,3.8 facilities/km distance (97%ile),7%ile,70%ile,7141.530031,2414292.848
North Carolina,NC,4,1215,0.737032876,6,57,230.6928132,9,84,0,8,70,0.652317669,7,60,0.142123288,0.015444913,2,14,4.834289733,11,98,0,4,39,0.270781893,5,45,0.524279835,8,75,0.015 facilities/km distance (14%ile),57%ile,4.8 facilities/km distance (98%ile),84%ile,70%ile,12441.05584,5293655.866
